Eins,one
Zwei,two
Drei,three
Vier,four
Fünf,five
Sechs,six
Sieben,seven
Acht,eight
Neun,nine
Zehn,ten
Rot,red
Blau,blue
Gelb,yellow
Grün,green
Schwarz,black
Weiß,white
Grau,grey
Braun,brown
Orange,orange
Lila,purple
Rosa,pink
Katze,cat
Hund,dog
Ratte,rat
Maus,mouse
Wellensittich,budgie
Hamster,hamster
Schildkröte,turtle
Meerschweinchen,guinea pig
Papagei,parrot
schlafen,sleep
traurig,sad
glücklich,happy
wütend,angry
Onkel,uncle
Tante,aunt
Schwester,sister
Bruder,brother
Schal,scarf
Vater,father
Mutter,mother
Handschuhe,gloves
Großmutter,grandmother
Großvater,grandfather
Jacke,jacket
Pullover,pullover
Stiefel,boots
Hut,hat
Hose,trousers
Schuhe,shoes
